http:__video.foxnews.com_v_3093386008001_.tsv,upcoming,terms,shelves,script,rights,rewritten,reserved,redistributed,published,privacy,news,network,movie,minutes,material,market,llc,leak,jan,fox
http:__video.foxnews.com_v_3096287838001_diving-dad-saves-sledding-daughter_#sp=news-clips_us.tsv,terms,tennessee,stops,slamming,rights,rewritten,reserved,redistributed,published,privacy,news,network,minutes,material,market,llc,jan,fox,father,faq
http:__video.foxnews.com_v_3097988998001_.tsv,terms,sitcom,rights,rewritten,reserved,redistributed,published,privacy,news,network,nbc,minutes,material,market,llc,jan,fox,faq,developing,delayed
http:__video.foxnews.com_v_3101071018001_.tsv,terms,search,rights,rewritten,reserved,redistributed,published,privacy,police,pasadena,news,network,minutes,material,market,llc,jan,fox,faq,delayed
http:__video.foxnews.com_v_3102385636001_.tsv,year,vegas,top,terms,spears,show,scores,rights,rewritten,reserved,redistributed,published,privacy,news,network,minutes,material,market,llc,las
http:__www.foxbusiness.com_industries_2014_01_23_microsoft-reports-earnings_.tsv,revenue,microsoft,billion,share,xbox,search,million,market,company,commercial,cents,surface,shares,segment,quarter,microsofts,increased,growth,earnings,earlier
http:__www.foxbusiness.com_markets_2014_01_22_7-practices-alan-mulally-that-helped-ford-pass-competitors_.tsv,mulally,ford,vision,fords,culture,team,plan,people,leaders,progress,values,results,make,connection,business,practices,positive,phrase,meetings,makes
http:__www.foxbusiness.com_markets_2014_01_24_wall-street-slammed-by-specter-emerging-market-contagion_.tsv,week,sp,posted,points,markets,friday,fell,dow,currencies,argentina,500,worst,trading,traders,surface,stocks,reason,quarterly,qe,nasdaq
http:__www.foxbusiness.com_personal-finance_2014_01_24_3-million-people-have-now-enrolled-in-obamacare_.tsv,enrollees,people,insurance,administration,1,younger,services,premium,online,months,millions,medicaid,herrick,health,enrolled,end,care,24,year,worried
http:__www.foxbusiness.com_technology_2014_01_23_from-nsa-to-gmail-ex-spy-launches-free-email-encryption-service_.tsv,virtru,encryption,ackerly,users,privacy,nsa,john,including,email,security,people,leighton,intelligence,access,years,surveillance,snowden,services,protect,platform
http:__www.foxnews.com_entertainment_2014_01_17_11-hollywood-good-girls-who-were-actually-really-bad_.tsv,httpa57foxnewscomglobalfncstaticcomstaticmanagedimgscitech,ap,marilyn,girl,years,troubled,times,talent,shes,roles,reportedly,offscreen,natalie,monroe,married,marriage,make,lana,judy,innocent
http:__www.foxnews.com_entertainment_2014_01_22_captain-tennille-divorcing-after-3-years-marriage_.tsv,tennille,dragon,website,divorce,advertisement,years,year,uncovered,twitter0,toni,time,thursday,tennilles,search,returned,retired,record,reconciled,published,press
http:__www.foxnews.com_entertainment_2014_01_22_melissa-gilbert-on-moving-to-small-town-its-like-green-acres-without-farm_.tsv,book,family,michigan,live,house,gilbert,write,melissa,fox411,daisy,amazing,weeks,town,tour,thing,television,stuff,story,small,shooting
