GUARDIAN_link	FOX_link	NumMatching
http:__www.theguardian.com_world_2014_jan_24_texas-hospital-acknowledges-brain-dead-pregnant-woman.tsv	http:__www.foxnews.com_health_2014_01_24_texas-hospital-ordered-to-remove-life-support-from-pregnant-brain-dead-woman_.tsv	11
http:__www.theguardian.com_world_2014_jan_24_texas-judge-hospital-life-support-brain-dead-pregnant-woman.tsv	http:__www.foxnews.com_health_2014_01_24_texas-hospital-ordered-to-remove-life-support-from-pregnant-brain-dead-woman_.tsv	11
http:__www.theguardian.com_world_2014_jan_23_nsa-barack-obama-phone-data-collection-illegal-privacy-board.tsv	http:__www.foxnews.com_politics_2014_01_23_independent-federal-review-board-says-nsa-phone-data-collection-program-should_.tsv	10
http:__www.theguardian.com_world_2014_jan_23_nsa-bulk-collection-chorus-surveillance-under-patriot-act.tsv	http:__www.foxnews.com_politics_2014_01_23_independent-federal-review-board-says-nsa-phone-data-collection-program-should_.tsv	9
http:__www.theguardian.com_world_2014_jan_24_former-senate-staffer-child-porn-charges-suicide.tsv	http:__www.foxnews.com_politics_2014_01_24_former-sen-alexander-aide-arrested-on-child-porn-charges-found-dead_.tsv	14
http:__www.theguardian.com_culture_2014_jan_24_babylonian-tablet-noah-ark-constructed-british-museum.tsv	http:__www.foxnews.com_science_2014_01_24_ancient-tablet-reveals-new-details-about-noah-ark-prototype_.tsv	9
http:__www.theguardian.com_world_2014_jan_23_texting-while-walking-safety-risks.tsv	http:__www.foxnews.com_tech_2014_01_24_texting-makes-walk-like-youre-drunk_.tsv	9
http:__www.theguardian.com_world_2014_jan_22_bart-california-transit-officer-shoots-kills-colleague.tsv	http:__www.foxnews.com_us_2014_01_23_bart-officer-died-gunshot-wound-to-chest-autopsy-says_.tsv	10
http:__www.theguardian.com_world_2014_jan_23_israel-claims-foiled-al-qaida-attack-tel-aviv.tsv	http:__www.foxnews.com_world_2014_01_23_israel-foils-al-qaeda-plot-on-us-embassy-internal-security-agency-says_.tsv	11
http:__www.theguardian.com_world_2014_jan_23_syria-peace-talks-bashar-al-assad-rebels.tsv	http:__www.foxnews.com_world_2014_01_23_syria-warring-factions-reportedly-agree-to-face-to-face-talks_.tsv	9
http:__www.theguardian.com_world_2014_jan_24_canadian-police-ice-bodies-elderly-blaze-victims.tsv	http:__www.foxnews.com_world_2014_01_23_several-missing-after-major-fire-at-quebec-senior-home_.tsv	9
http:__www.theguardian.com_world_2014_jan_25_rescuers-battle-ice-elderly-missing-quebec-fire.tsv	http:__www.foxnews.com_world_2014_01_23_several-missing-after-major-fire-at-quebec-senior-home_.tsv	10
http:__www.theguardian.com_global_2014_jan_23_ukraine-crisis-exposes-europe-policy-vacuum.tsv	http:__www.foxnews.com_world_2014_01_23_ukraine-opposition-gives-president-election-ultimatum_.tsv	9
http:__www.theguardian.com_world_2014_jan_23_mexican-edgar-tamayo-executed-texas.tsv	http:__www.foxnews.com_world_2014_01_23_texas-executes-mexican-despite-diplomatic-protests_.tsv	10
http:__www.theguardian.com_world_2014_jan_23_syria-peace-talks-bashar-al-assad-rebels.tsv	http:__www.foxnews.com_world_2014_01_24_syrian-government-threatens-to-walk-out-peace-talks_.tsv	9
http:__www.theguardian.com_world_2014_jan_23_ukraine-protests-uneasy-truce-kiev.tsv	http:__www.foxnews.com_world_2014_01_23_ukraine-opposition-gives-president-election-ultimatum_.tsv	11
http:__www.theguardian.com_world_2014_jan_24_kiev-protesters-occupy-government-building-truce-ukraine.tsv	http:__www.foxnews.com_world_2014_01_23_ukraine-opposition-gives-president-election-ultimatum_.tsv	9
http:__www.theguardian.com_world_2014_jan_24_syria-government-rebels-direct-peace-talks-geneva.tsv	http:__www.foxnews.com_world_2014_01_24_syrian-government-threatens-to-walk-out-peace-talks_.tsv	10
http:__www.theguardian.com_world_2014_jan_24_syrian-face-to-face-peace-talks-break-down.tsv	http:__www.foxnews.com_world_2014_01_24_syrian-government-threatens-to-walk-out-peace-talks_.tsv	10
http:__www.theguardian.com_world_2014_jan_24_ukrainian-president-offers-concessions-protesters.tsv	http:__www.foxnews.com_world_2014_01_23_ukraine-opposition-gives-president-election-ultimatum_.tsv	9
http:__www.theguardian.com_world_2014_jan_25_syrian-peace-talks-regime-rebels-meet-un-geneva-ii.tsv	http:__www.foxnews.com_world_2014_01_24_syrian-government-threatens-to-walk-out-peace-talks_.tsv	10
http:__www.theguardian.com_world_2014_jan_25_ukraine-protesters-seize-energy-ministry-kiev.tsv	http:__www.foxnews.com_world_2014_01_23_ukraine-opposition-gives-president-election-ultimatum_.tsv	9
http:__www.theguardian.com_world_2014_jan_24_ukrainian-president-offers-concessions-protesters.tsv	http:__www.foxnews.com_world_2014_01_25_ukrainian-officials-accuse-protesters-capturing-2-policemen-as-clashes_.tsv	9
http:__www.theguardian.com_world_2014_jan_25_ukraine-protesters-seize-energy-ministry-kiev.tsv	http:__www.foxnews.com_world_2014_01_24_ukraine-opposition-gives-president-election-ultimatum_.tsv	9
http:__www.theguardian.com_world_2014_jan_25_ukraine-protesters-seize-energy-ministry-kiev.tsv	http:__www.foxnews.com_world_2014_01_25_ukrainian-officials-accuse-protesters-capturing-2-policemen-as-clashes_.tsv	9
